Selected,Customer ID,Customer Name,Customer Class,City,State,Terms,Customer Status,Restrict Visibility To,Time Zone,Tax Zone,Parent Account ID,Billing Email,Primary Email,Open Balance,Price Class,Billing Cycle,Send Appointment Email,Send Invoices by Email,Default Payment Method,Print Invoices,Last Modified By,Print Statements,Send Statements by Email,Credit Verification,Statement Cycle ID,AR Rep Name,AR Rep Email,Managed By Third Party,Account Name,Created On
False,CATW000207,Clipper Petroleum #77 - Cobb Dr,STANDARD,Smyrna,GA,NET30,Active,ATW,,GACOBSMYRN,,AP@clipperpetroleum.com,AP@clipperpetroleum.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000210,Clipper Petroleum #64 - Greenbriar,STANDARD,Marietta,GA,NET30,Active,ATW,,GACOBMARIE,,AP@clipperpetroleum.com,AP@clipperpetroleum.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000205,Clipper Petroleum #60 - Hwy 92,STANDARD,Acworth,GA,NET30,Active,ATW,,GACHEACWOR,,AP@clipperpetroleum.com,AP@clipperpetroleum.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000209,Clipper Petroleum #55 - Dallas,STANDARD,Dallas,GA,NET30,Active,ATW,,GAPAUDALLA,,AP@clipperpetroleum.com,AP@clipperpetroleum.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000208,Clipper Petroleum #49 - Cobb Pkwy,STANDARD,Smyrna,GA,NET30,Active,ATW,,GACOBSMYRN,,AP@clipperpetroleum.com,AP@clipperpetroleum.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000213,Clipper Petroleum #47 - Thornton,STANDARD,Lithia Springs,GA,NET30,Active,ATW,,GADOULITHI,,AP@clipperpetroleum.com,AP@clipperpetroleum.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000206,Clipper Petroleum #38 - Bannister,STANDARD,Cumming,GA,NET30,Active,ATW,,GAFORCUMMI,,AP@clipperpetroleum.com,AP@clipperpetroleum.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000182,Clay's Sports Cafe-Sandy Springs,STANDARD,Sandy Springs,GA,NET30,Active,ATW,,GAFULATL01,,bak209ali@gmail.com,bak209ali@gmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000031,Classic Atlanta - Cadillac/Subaru/Fisker,STANDARD,Atlanta,GA,NET30,Active,ATW,,GAFULATL01,,payables@classicatlanta.com,payables@classicatlanta.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000494,City Eats Kitchen,STANDARD,Alpharetta,GA,NET30,Active,ATW,,GAFULALPHA,,Brent@cityeatskitchen.com,Brent@cityeatskitchen.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000260,Circle K #2745162 - Palmetto,CORPACCT,Palmetto,GA,NET30,Active,ATW,,GAFULPALME,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000259,Circle K #2745095 - Woodstock,CORPACCT,Woodstock,GA,NET30,Active,ATW,,GACHEWOODS,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000421,Circle K #2723687 - Bremen,CORPACCT,Bremen,GA,NET30,Active,ATW,,GAHARBREME,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
